Brett,Rumford,2010,,,,,
Brett,Rumford,2011,,,,,
Brett,Rumford,2012,,,,,
Brett,Rumford,2013,,,,44250.0,
Brett,Rumford,2014,,,,86000.0,
Brett,Rumford,2015,,,,22551.0,
Brett,Rumford,2016,,,,,
Brett,Rumford,2017,,,,,
Brett,Rumford,2018,,,,77817.0,
Brett,Stegmaier,2010,,,,,
Brett,Stegmaier,2012,,,,5000.0,
Brett,Stegmaier,2013,,,,,
Brett,Stegmaier,2014,,,,,
Brett,Stegmaier,2015,,,,,
Brett,Stegmaier,2016,3.0,29.0,70.71,1086714.0,0.10344827586206896
Brett,Stegmaier,2017,,,71.68,271031.0,
Brett,Stegmaier,2018,,,70.51,305607.0,
Brett,Swedberg,2010,,,,,
Brett,Waldman,2010,,,,5000.0,
Brett,Wetterich,2010,1.0,16.0,70.44,510672.0,0.0625
Brett,Wetterich,2011,,,,307504.0,
Brett,Wetterich,2012,,,,50917.0,
Brett,Wetterich,2013,,,,,
Brett,Wetterich,2014,,,,,
Brett,Wetterich,2015,,,,,
Brett,Wetterich,2016,,,,,
Brett,Wetterich,2017,,,,,
Brett,Wetterich,2018,,,,,
Brian,Agee,2014,,,,,
Brian,Anania,2014,,,,,
Brian,Anderson,2011,,,,5000.0,
Brian,Bateman,2010,,,,,
Brian,Bateman,2011,,,,6984.0,
Brian,Bateman,2012,,,,,
Brian,Bullington,2016,,,,,
Brian,Bullington,2018,,,,,
Brian,Cairns,2011,,,,,
Brian,Cairns,2012,,,,,
Brian,Cairns,2015,,,,,
Brian,Campbell,2014,,,,,
Brian,Campbell,2015,,,,,
Brian,Campbell,2016,,,,,
Brian,Campbell,2017,,,71.33,237537.0,
Brian,Campbell,2018,,,,,
Brian,Casey,2015,,,,,
Brian,Davis,2010,2.0,32.0,71.15,2265516.0,0.0625
Brian,Davis,2011,2.0,30.0,70.4,1417509.0,0.06666666666666667
Brian,Davis,2012,4.0,29.0,70.98,1318032.0,0.13793103448275862
Brian,Davis,2013,4.0,28.0,70.77,1271524.0,0.14285714285714285
Brian,Davis,2014,,,71.16,842539.0,
Brian,Davis,2015,2.0,31.0,71.3,656534.0,0.06451612903225806
Brian,Davis,2016,,,,27880.0,
Brian,Davis,2017,,,,,
Brian,Davis,2018,,,,60851.0,
Brian,Duncan,2010,,,,,
Brian,Duncan,2011,,,,,
Brian,Duncan,2012,,,,5000.0,
Brian,Gaffney,2012,,,,,
Brian,Gaffney,2015,,,,17900.0,
Brian,Gaffney,2016,,,,,
Brian,Gay,2010,2.0,30.0,70.49,1521663.0,0.06666666666666667
Brian,Gay,2011,3.0,26.0,70.32,1157525.0,0.11538461538461539
Brian,Gay,2012,3.0,28.0,70.71,960658.0,0.10714285714285714
Brian,Gay,2013,1.0,24.0,71.08,1426017.0,0.041666666666666664
Brian,Gay,2014,1.0,26.0,71.38,605368.0,0.038461538461538464
Brian,Gay,2016,1.0,13.0,,280619.0,0.07692307692307693
Brian,Gay,2017,3.0,25.0,70.33,942372.0,0.12
Brian,Gay,2018,6.0,30.0,69.92,2152501.0,0.2
Brian,Hadley,2013,,,,,
Brian,Harman,2010,,,,,
Brian,Harman,2011,,,,25000.0,
Brian,Harman,2012,1.0,30.0,70.93,1248948.0,0.03333333333333333
Brian,Harman,2013,2.0,29.0,71.19,909759.0,0.06896551724137931
Brian,Harman,2014,6.0,32.0,70.35,2414334.0,0.1875
Brian,Harman,2015,3.0,29.0,70.46,1548352.0,0.10344827586206896
Brian,Harman,2016,2.0,31.0,70.67,1299801.0,0.06451612903225806
Brian,Harman,2017,7.0,30.0,70.27,4396470.0,0.23333333333333334
Brian,Harman,2018,8.0,25.0,70.46,2888463.0,0.32
Brian,Hutton,2011,,,,,
Brian,Locke,2011,,,,,
Brian,Maurer,2011,,,,,
Brian,Maurer,2016,,,,,
Brian,McCann,2012,,,,,
Brian,Norman,2014,,,,,
Brian,Norman,2016,,,,,
Brian,Norman,2018,,,,,
Brian,Prouty,2011,,,,,
Brian,Prouty,2012,,,,,
Brian,Richey,2015,,,,,
Brian,Richey,2017,,,,,
Brian,Richey,2018,,,,,
Brian,Ricketts,2012,,,,,
Brian,Ricketts,2013,,,,,
Brian,Rowell,2010,,,,,
Brian,Rowell,2012,,,,,
Brian,Rowell,2017,,,,,
Brian,Smock,2010,,,,5000.0,
Brian,Smock,2011,,,,,
Brian,Smock,2012,,,,,
Brian,Smock,2016,,,,,
Brian,Smock,2017,,,,,
Brian,Smock,2018,,,,,
Brian,Stuard,2010,1.0,28.0,71.25,536497.0,0.03571428571428571
